name,position,z_type,z_score,x
kaib/kaib__2_4/rank_001_alphafold2_model_4_seed_004_msa_extra_msa_1.npy,kaib__2_4,right,13.916175,2
kaib/kaib__2_4/rank_001_alphafold2_model_4_seed_004_msa_extra_msa_1.npy,kaib__2_4,up,5.211135,2
kaib/kaib__2_4/rank_007_alphafold2_model_1_seed_004_msa_extra_msa_0.npy,kaib__2_4,common,55.422516,2
kaib/kaib__2_4/rank_007_alphafold2_model_1_seed_004_msa_extra_msa_0.npy,kaib__2_4,right,23.168365,2
kaib/kaib__2_4/rank_007_alphafold2_model_1_seed_004_msa_extra_msa_0.npy,kaib__2_4,up,6.632941,2
kaib/kaib__2_4/rank_017_alphafold2_model_5_seed_000_msa_extra_msa_3.npy,kaib__2_4,common,46.642143,2
kaib/kaib__2_4/rank_017_alphafold2_model_5_seed_000_msa_extra_msa_3.npy,kaib__2_4,right,12.730374,2
kaib/kaib__2_4/rank_017_alphafold2_model_5_seed_000_msa_extra_msa_3.npy,kaib__2_4,up,6.735902,2
kaib/kaib__2_4/rank_006_alphafold2_model_2_seed_004_msa_extra_msa_2.npy,kaib__2_4,common,60.462997,2
kaib/kaib__2_4/rank_006_alphafold2_model_2_seed_004_msa_extra_msa_2.npy,kaib__2_4,right,17.13645,2
kaib/kaib__2_4/rank_006_alphafold2_model_2_seed_004_msa_extra_msa_2.npy,kaib__2_4,up,6.271924,2
kaib/kaib__2_4/rank_009_alphafold2_model_3_seed_000_msa_extra_msa_0.npy,kaib__2_4,common,52.846115,2
kaib/kaib__2_4/rank_009_alphafold2_model_3_seed_000_msa_extra_msa_0.npy,kaib__2_4,right,18.010542,2
kaib/kaib__2_4/rank_009_alphafold2_model_3_seed_000_msa_extra_msa_0.npy,kaib__2_4,up,7.7923446,2
kaib/kaib__2_4/rank_024_alphafold2_model_4_seed_002_msa_extra_msa_0.npy,kaib__2_4,common,50.426167,2
kaib/kaib__2_4/rank_024_alphafold2_model_4_seed_002_msa_extra_msa_0.npy,kaib__2_4,right,19.922132,2
kaib/kaib__2_4/rank_024_alphafold2_model_4_seed_002_msa_extra_msa_0.npy,kaib__2_4,up,6.3304896,2
kaib/kaib__2_4/rank_024_alphafold2_model_4_seed_002_msa_extra_msa_1.npy,kaib__2_4,common,66.22171,2
kaib/kaib__2_4/rank_024_alphafold2_model_4_seed_002_msa_extra_msa_1.npy,kaib__2_4,right,16.298168,2
kaib/kaib__2_4/rank_024_alphafold2_model_4_seed_002_msa_extra_msa_1.npy,kaib__2_4,up,6.040861,2
kaib/kaib__2_4/rank_009_alphafold2_model_3_seed_000_msa_extra_msa_1.npy,kaib__2_4,common,61.358833,2
kaib/kaib__2_4/rank_009_alphafold2_model_3_seed_000_msa_extra_msa_1.npy,kaib__2_4,right,15.045235,2
kaib/kaib__2_4/rank_009_alphafold2_model_3_seed_000_msa_extra_msa_1.npy,kaib__2_4,up,7.084024,2
kaib/kaib__2_4/rank_006_alphafold2_model_2_seed_004_msa_extra_msa_3.npy,kaib__2_4,common,56.64444,2
kaib/kaib__2_4/rank_006_alphafold2_model_2_seed_004_msa_extra_msa_3.npy,kaib__2_4,right,12.256527,2
kaib/kaib__2_4/rank_006_alphafold2_model_2_seed_004_msa_extra_msa_3.npy,kaib__2_4,up,6.7772875,2
kaib/kaib__2_4/rank_017_alphafold2_model_5_seed_000_msa_extra_msa_2.npy,kaib__2_4,common,53.368782,2
kaib/kaib__2_4/rank_017_alphafold2_model_5_seed_000_msa_extra_msa_2.npy,kaib__2_4,right,17.29295,2
